sku,nombre,categoria,marca,modelo_impresora,compatible_con,stock_actual,stock_minimo,precio_compra,precio_venta,proveedor_id,activo
CF-3210D,Toner CFP para Ricoh Aficio 2035/2045/3035/3045,CFP Color Force Pro,RICOH,,,4,1,0.0,0.0,P120249,True
CF-3470B/P,Tóner CFP para Samsung ML3470/3471,Bajo pedido,SAMSUNG,,,1,0,0.0,0.0,P100081,True
CF-405783,Bote Residual CFP Ricoh SG 2100/3100/3110/3120/7100 - 27.000 pag,CFP Color Force Pro,RICOH,,,0,0,0.0,0.0,P120463,True
CF-405XLBK,Tinta CFP Epson 405XL Negro - 1.100 pag,CFP Color Force Pro,EPSON,,,0,0,0.0,0.0,P120451,True
CF-405XLC,Tinta CFP Epson 405XL Cyan - 1.100 pag,CFP Color Force Pro,EPSON,,,0,0,0.0,0.0,P120451,True
CF-405XLM,Tinta CFP Epson 405XL Magenta - 1.100 pag,CFP Color Force Pro,EPSON,,,0,0,0.0,0.0,P120451,True
CF-405XLY,Tinta CFP Epson 405XL Amarillo - 1.100 pag,CFP Color Force Pro,EPSON,,,0,0,0.0,0.0,P120451,True
CF-411018,PCU CFP para Ricoh type 1027 Negro - 60000 pag,PPC Piezas,RICOH,,,1,8,0.0,0.0,P120463,True
CF-416890,Bote Residual CFP para Ricoh MPC2003/2004/3003/3004/6003/6004 (D2426400) - 100.000 pag.,CFP Color Force Pro,RICOH,,,141,15,0.0,0.0,P120493,True
CF-418425,Bote Residual Original para Ricoh IM C2000/2010/2500/2510/3000/3010/3500/3510/4500/4510/5500/6000/6010/7010 - 100.000 pag,CFP Color Force Pro,RICOH,,,166,2,0.0,0.0,P120463,True
CF-418774,Bote Residual CFP Ricoh IM 2500/3000/3500/4000/5000/6000,CFP Color Force Pro,RICOH,,,4,0,0.0,0.0,P120281,True
CF-55B2H00,Toner CFP para Lexmark MX331/MS331/MX431/MS431/MX432 Negro - 15.000 pag,CFP Color Force Pro,LEXMARK,,,15,0,0.0,0.0,P120542,True
CF-55B2X00,Toner CFP para Lexmark MX431/MS431/MX432 Negro - 20.000 pag,CFP Color Force Pro,LEXMARK,,,12,0,0.0,0.0,P120542,True
CF-6210D,Toner CFP para Ricoh Aficio MP 9003/9002/6001/6000/5500/ IM 9000/8000/7000/ 1060/1075/2051/2060 - 43.000 pag,CFP Color Force Pro,RICOH,,,84,15,0.0,0.0,P120249,True
CF-76C0PV0,Unidad de Imagen CFP Lexmark XC9225/XC9235/XC9245/XC9255/XC9265 Color - 90.000 pag,PPC Piezas,LEXMARK BSD,,,0,0,0.0,0.0,P120463,True
